DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
react_db,public,user,user_id,1,INT,4,PRIMARY KEY,,,
react_db,public,user,email,2,VARCHAR,254,UNIQUE,,,
react_db,public,user,first_name,3,VARCHAR,100,,,,
react_db,public,user,last_name,4,VARCHAR,100,,,,
react_db,public,user,birthdate,5,DATE,,,,,
react_db,public,user,gender,6,VARCHAR,10,,,,
react_db,public,user,height_feet,7,VARCHAR,10,,,,
react_db,public,user,height_inches,8,VARCHAR,10,,,,
react_db,public,user,goal_weight,9,DECIMAL,4,,,,
react_db,public,user,goal_to_lose_weight,10,BOOLEAN,,,,,
react_db,public,user,goal_to_feel_better,11,BOOLEAN,,,,,
react_db,public,user,password,12,VARCHAR,128,,,,
react_db,public,user,push_token,13,VARCHAR,128,,,,
react_db,public,user,is_enrolled,14,BOOLEAN,,,,,
react_db,public,user,enrolled_at,15,DATETIME,,,,,
react_db,public,user_data,data_id,1,INT,8,PRIMARY KEY,,,
react_db,public,user_data,user_id,2,INT,4,FOREIGN KEY,public,user,user_id
react_db,public,user_data,timestamp,3,DATETIME,,,,,
react_db,public,user_data,goal_type,4,VARCHAR,20,,,,
react_db,public,user_data,weight_value,5,DECIMAL,4,,,,
react_db,public,user_data,feel_better_value,6,INT,,,,,
react_db,public,notification_data,notification_id,1,INT,8,PRIMARY KEY,,,
react_db,public,notification_data,user_id,2,INT,4,FOREIGN KEY,public,user,user_id
react_db,public,notification_data,notification_title,3,VARCHAR,255,,,,
react_db,public,notification_data,notification_message,4,VARCHAR,255,,,,
react_db,public,notification_data,timestamp,5,DATETIME,,,,,
react_db,public,notification_data,read_status,6,BOOLEAN,,,,,
react_db,public,wearable_device,id,1,INT,8,PRIMARY KEY,,,
react_db,public,wearable_device,user_id,2,INT,4,FOREIGN KEY (UNIQUE),public,user,user_id
react_db,public,wearable_device,fitabase_participant_id,3,VARCHAR,64,UNIQUE,,,
react_db,public,wearable_device,device_name,4,VARCHAR,100,,,,
react_db,public,wearable_device,is_active,5,BOOLEAN,,,,,
react_db,public,wearable_device,last_synced_at,6,DATETIME,,,,,
react_db,public,heart_rate_sample,id,1,INT,8,PRIMARY KEY,,,
react_db,public,heart_rate_sample,user_id,2,INT,4,FOREIGN KEY,public,user,user_id
react_db,public,heart_rate_sample,timestamp,3,DATETIME,,,,,
react_db,public,heart_rate_sample,bpm,4,SMALLINT,,,,,
react_db,public,heart_rate_sample,source,5,VARCHAR,32,,,,
react_db,public,stress_sample,id,1,INT,8,PRIMARY KEY,,,
react_db,public,stress_sample,user_id,2,INT,4,FOREIGN KEY,public,user,user_id
react_db,public,stress_sample,timestamp,3,DATETIME,,,,,
react_db,public,stress_sample,stress_score,4,SMALLINT,,,,,
react_db,public,stress_sample,source,5,VARCHAR,32,,,,
react_db,public,ema,id,1,INT,8,PRIMARY KEY,,,
react_db,public,ema,user_id,2,INT,4,FOREIGN KEY,public,user,user_id
react_db,public,ema,prompt_id,3,VARCHAR,64,,,,
react_db,public,ema,sent_at,4,DATETIME,,,,,
react_db,public,ema,responded_at,5,DATETIME,,,,,
react_db,public,ema,status,6,VARCHAR,16,,,,
react_db,public,ema,mood,7,SMALLINT,,,,,
react_db,public,ema,stress,8,SMALLINT,,,,,
react_db,public,ema,energy,9,SMALLINT,,,,,
react_db,public,jitai_log,id,1,INT,8,PRIMARY KEY,,,
react_db,public,jitai_log,user_id,2,INT,4,FOREIGN KEY,public,user,user_id
react_db,public,jitai_log,prompt_id,3,VARCHAR,64,,,,
react_db,public,jitai_log,triggered_at,4,DATETIME,,,,,
react_db,public,jitai_log,trigger_reason,5,VARCHAR,128,,,,
react_db,public,jitai_log,hr_at_trigger,6,SMALLINT,,,,,
react_db,public,jitai_log,stress_at_trigger,7,SMALLINT,,,,,
react_db,public,jitai_log,status,8,VARCHAR,16,,,,
