scenario,anchor_mode,emq_halflife_days,anchor_weight,tracking_ratio_final,n
shift_down,decaying,3,0.0,1.0,3
shift_down,decaying,3,0.2,1.0817416091959864,3
shift_down,decaying,3,0.3,1.1174587530134115,3
shift_down,decaying,3,0.35,1.1367360781370792,3
shift_down,decaying,3,0.4,1.1556073490099814,3
shift_down,decaying,3,0.5,1.1906215422185749,3
shift_down,decaying,7,0.0,1.0117825500782898,3
shift_down,decaying,7,0.2,1.1267161337821867,3
shift_down,decaying,7,0.3,1.1777154187211845,3
shift_down,decaying,7,0.35,1.1976202690785664,3
shift_down,decaying,7,0.4,1.2218985274392862,3
shift_down,decaying,7,0.5,1.2658993745541516,3
shift_down,decaying,14,0.0,1.244212491654998,3
shift_down,decaying,14,0.2,1.3042158658764909,3
shift_down,decaying,14,0.3,1.3357255536901818,3
shift_down,decaying,14,0.35,1.3463992097467796,3
shift_down,decaying,14,0.4,1.365856308486582,3
shift_down,decaying,14,0.5,1.3960648892776983,3
shift_down,fixed,3,0.0,1.0,3
shift_down,fixed,3,0.2,1.2600000000000002,3
shift_down,fixed,3,0.3,1.391348922897225,3
shift_down,fixed,3,0.35,1.4443535358721629,3
shift_down,fixed,3,0.4,1.4924690850952729,3
shift_down,fixed,3,0.5,1.5796476512590942,3
shift_down,fixed,7,0.0,1.0117825500782898,3
shift_down,fixed,7,0.2,1.3557575723284156,3
shift_down,fixed,7,0.3,1.4604791114698719,3
shift_down,fixed,7,0.35,1.5054655836724848,3
shift_down,fixed,7,0.4,1.5666666666666667,3
shift_down,fixed,7,0.5,1.6577359979751216,3
shift_down,fixed,14,0.0,1.244212491654998,3
shift_down,fixed,14,0.2,1.4599543066524256,3
shift_down,fixed,14,0.3,1.5684374501582103,3
shift_down,fixed,14,0.35,1.6180605196100213,3
shift_down,fixed,14,0.4,1.6417169496659563,3
shift_down,fixed,14,0.5,1.7189133763225337,3
shift_up,decaying,3,0.0,0.9676679568433243,3
shift_up,decaying,3,0.2,0.9342496728814806,3
shift_up,decaying,3,0.3,0.9172369925140779,3
shift_up,decaying,3,0.35,0.9084011914141117,3
shift_up,decaying,3,0.4,0.8998314889048262,3
shift_up,decaying,3,0.5,0.8842438420238284,3
shift_up,decaying,7,0.0,0.9346083863198613,3
shift_up,decaying,7,0.2,0.9029859278229311,3
shift_up,decaying,7,0.3,0.8889418463252108,3
shift_up,decaying,7,0.35,0.8818159615645093,3
shift_up,decaying,7,0.4,0.8743746946716154,3
shift_up,decaying,7,0.5,0.8608976893416291,3
shift_up,decaying,14,0.0,0.8660334895161611,3
shift_up,decaying,14,0.2,0.8414133927141552,3
shift_up,decaying,14,0.3,0.8286168783645859,3
shift_up,decaying,14,0.35,0.823196799641364,3
shift_up,decaying,14,0.4,0.8173828240302013,3
shift_up,decaying,14,0.5,0.8074008596594339,3
shift_up,fixed,3,0.0,0.9676679568433243,3
shift_up,fixed,3,0.2,0.8486806945361693,3
shift_up,fixed,3,0.3,0.7928223173067019,3
shift_up,fixed,3,0.35,0.766288339669507,3
shift_up,fixed,3,0.4,0.7380410604662059,3
shift_up,fixed,3,0.5,0.6820619077304763,3
shift_up,fixed,7,0.0,0.9346083863198613,3
shift_up,fixed,7,0.2,0.8274157296110536,3
shift_up,fixed,7,0.3,0.77283123059747,3
shift_up,fixed,7,0.35,0.7453508186035392,3
shift_up,fixed,7,0.4,0.7170514026471975,3
shift_up,fixed,7,0.5,0.6652982140774654,3
shift_up,fixed,14,0.0,0.8660334895161611,3
shift_up,fixed,14,0.2,0.7771471030812211,3
shift_up,fixed,14,0.3,0.7255995963789977,3
shift_up,fixed,14,0.35,0.6991341389686972,3
shift_up,fixed,14,0.4,0.6771195155195727,3
shift_up,fixed,14,0.5,0.6335586206391968,3
