scenario,arm,prompts_per_week_pre,prompts_per_week_post,delivered_per_day_post,tpr,fpr,precision,tpr_pre,tpr_post,fpr_pre,fpr_post,tracking_ratio_pre,tracking_ratio_post,tie_rate,threshold_volatility,days_to_readapt,tracking_ratio_final,n_evaluable
drift,emq_anchored,5.137666666666667,5.173111111111111,0.36898412698412697,0.5008925106713232,0.13024430571739173,0.49179578359156717,0.5070720874615647,0.49712739383846793,0.13946819161392138,0.12450363298411625,1.0,1.0433312889029325,0.04416613790736137,0.016300904411417433,0.0,1.069656626073103,192274
drift,emq_decaying,5.125,5.126222222222222,0.36717460317460315,0.4989522700814901,0.1287601143087769,0.49369032687434405,0.5063887939870174,0.494421315570358,0.13895912168468208,0.12241255491720175,1.0,1.0426654778971567,0.04307394655543651,0.020059248694153303,0.0,1.04873227881663,192274
drift,expanding,4.8213333333333335,4.416666666666667,0.318,0.46444185745699135,0.11025979859262201,0.5145452982144393,0.48629996583532625,0.4511240632805995,0.12801411820603756,0.09921003717472118,1.0,1.0,0.09981068683233303,0.01160867937940368,0.0,1.0,192274
drift,rolling,4.914,4.8468888888888895,0.34615873015873017,0.47608330099599017,0.12103971513940333,0.49741870962510476,0.49046805603006494,0.4673189009159034,0.1315267007177886,0.11451292666441365,1.0,1.0,0.10223431145136629,0.036331390617245454,0.0,1.0,192274
shift_down,emq_anchored,4.918333333333333,1.571777777777778,0.11133333333333334,0.2946854915726712,0.06904143137216588,0.5185538447563247,0.5419570671870644,0.14925189588030335,0.1205714478705799,0.03668635288878522,0.9980901349640651,1.715021488065,0.04464982264892809,0.014456978293059374,,1.5249999999999997,192274
shift_down,emq_decaying,4.923,1.8744444444444446,0.13523809523809524,0.31272746044446736,0.07350958438360983,0.5177335270489701,0.5420267633119599,0.17786431645829062,0.1206896551724138,0.0438857845684052,0.9999999999999999,1.553331847371446,0.04351082309620646,0.018500195920914307,17.0,1.2014966567734466,192274
shift_down,expanding,4.591666666666667,1.0235555555555556,0.07257142857142856,0.2564334202307514,0.05584539930046701,0.5367658976714031,0.5179816002230276,0.10260299241647879,0.10905467932047688,0.02243593141984668,1.0,1.710506601825562,0.09169726536089123,0.010588294182499293,,1.5,192274
shift_down,rolling,4.689666666666667,3.2531111111111106,0.23361904761904762,0.3664662003458689,0.09593502289439917,0.49082172364918586,0.5211876219682186,0.27546628407460544,0.11344523624573609,0.0849405702289186,1.0,1.0,0.14489738602203106,0.03977497823912144,6.0,1.0,192274
shift_up,emq_anchored,4.918333333333333,9.893555555555555,0.7103174603174603,0.7181632705766896,0.21416709540028525,0.4581671993936798,0.5344341522351993,0.8330604877639256,0.11853139701370423,0.2732992569953101,0.9980901349640651,0.6510585999229654,0.03744656063742368,0.019753903467001815,19.0,0.750837744132108,192274
shift_up,emq_decaying,4.923,8.930666666666667,0.6420317460317461,0.6955915394747036,0.1899018579904007,0.4801583057011445,0.5343670291314271,0.7964152289803971,0.11868480261812231,0.23393581704168204,0.9999999999999999,0.721335516013784,0.03702528683025266,0.02318948600212735,10.0,0.886143266503797,192274
shift_up,expanding,4.591666666666667,9.205111111111112,0.6521904761904762,0.6967020479842979,0.19194024213138133,0.47789193976970773,0.51013558866962,0.8133736305251228,0.10721347242108134,0.24432734362649522,1.0,0.6203103396411042,0.0970958111861198,0.013590688138652838,,0.7406613197666081,192274
shift_up,rolling,4.689666666666667,6.544,0.46406349206349207,0.6061052142248392,0.13435100584163123,0.5321889385246831,0.5142300979997315,0.6635604247995635,0.11138951387468467,0.14854824260947463,1.0,0.8650633652065983,0.07829971811061298,0.03274068606082807,5.0,0.9683303071858221,192274
stationary,emq_anchored,4.918333333333333,4.933111111111111,0.354,0.5545968846064426,0.10348195854470152,0.574652034261242,0.5360168055837907,0.5660432495616599,0.11913142546208913,0.09376912848006416,0.9980901349640651,1.0,0.05548332067778275,0.013871296532503557,0.0,1.0,192274
stationary,emq_decaying,4.923,4.945111111111111,0.3538730158730159,0.5550102038180362,0.10372941398644205,0.5742502806436094,0.5360168055837907,0.5667111964598814,0.1192674590623884,0.09408573780526416,0.9999999999999999,1.0,0.054500348461050376,0.017100082340590555,0.0,1.0,192274
stationary,expanding,4.591666666666667,4.075555555555556,0.29,0.5108367130789698,0.0820835748194552,0.6107164916615194,0.5120959544622891,0.5100609501544627,0.10768759883691272,0.0661924562551449,1.0,1.0,0.11607913706481375,0.010239038546136158,0.0,1.0,192274
stationary,rolling,4.689666666666667,4.582,0.32965079365079364,0.5157707111673685,0.09784257926714117,0.5706038695664599,0.5154841770007454,0.5159472321950405,0.11204067404648949,0.08903054224623763,1.0,1.0,0.11326544410580734,0.030098288065594725,0.0,1.0,192274
